# ID,label,width,depth,height,root_density,hull_area,shape_index,sum_eigen,omnivariance,eigenentropy,linearity,planarity,sphericity,curvature,n_points,elong_xy,elong_yz,elong_xz,volume,prof_x_0,prof_x_1,prof_x_2,prof_x_3,prof_x_4,prof_x_5,prof_y_0,prof_y_1,prof_y_2,prof_y_3,prof_y_4,prof_y_5,prof_z_0,prof_z_1,prof_z_2,prof_z_3,prof_z_4,prof_z_5
  23.00000,   0.00000, 336.35999, 381.64999,  14.21000,   0.00056, 389.76498,   5.05520,   0.44092,   0.06875,   0.69721,   0.06169,   0.90742,   0.03085,   0.01566,14381.00000,   1.13465,  26.85783,  23.67064,   0.00788,   0.03179,   0.05305,   0.05102,   0.04993,   0.05045,   0.03440,   0.05272,   0.05716,   0.04665,   0.05210,   0.05538,   0.05496,   0.01120,   0.00841,   0.18137,   0.10331,   0.15937,   0.25232
  24.00000,   0.00000, 143.09000, 404.26001,  13.73000,   0.00132, 215.41841,   3.80291,   0.45431,   0.12476,   0.78881,   0.26756,   0.52651,   0.20589,   0.10622,7586.00000,   2.82521,  29.44353,  10.42170,   0.00955,   0.04584,   0.04876,   0.05148,   0.07469,   0.07589,   0.06632,   0.04060,   0.04149,   0.07878,   0.08109,   0.08099,   0.07599,   0.01511,   0.01069,   0.00611,   0.44435,   0.62477,   0.18653
  25.00000,   0.00000, 339.92999, 435.06000,  10.28000,   0.00058, 110.51012,   2.74039,   0.50278,   0.08278,   0.71761,   0.43348,   0.53430,   0.03219,   0.02013,3441.00000,   1.27985,  42.32097,  33.06709,   0.00226,   0.07570,   0.10776,   0.11310,   0.11506,   0.11221,   0.08905,   0.02578,   0.08570,   0.09349,   0.09929,   0.09646,   0.08669,   0.07567,   0.56505,   0.58644,   0.58479,   0.55600,   0.46224
  26.00000,   0.00000, 219.95000, 261.23001,  12.06000,   0.00041, 249.50665,   4.32931,   0.43854,   0.09649,   0.73238,   0.19457,   0.71532,   0.09006,   0.04751,9742.00000,   1.18768,  21.66084,  18.23796,   0.01406,   0.02024,   0.05209,   0.06897,   0.07424,   0.05951,   0.02331,   0.02361,   0.06533,   0.07889,   0.07057,   0.06069,   0.02629,   0.00622,   0.10076,   0.27907,   0.01771,   0.22154,   0.15190
  27.00000,   0.00000,  89.17000, 369.10001,  12.44000,   0.00273,  80.21077,   2.35635,   0.51000,   0.11280,   0.77027,   0.34051,   0.57198,   0.08748,   0.05007,2194.00000,   4.13928,  29.67040,   7.16800,   0.00536,   0.07692,   0.12214,   0.15165,   0.13784,   0.10864,   0.09168,   0.03769,   0.06544,   0.09574,   0.13215,   0.12808,   0.09956,   0.01895,   0.01354,   0.05054,   0.41156,   1.40166,   0.08394
  28.00000,   0.00000,  62.84000, 389.53000,  16.87000,   0.00102, 181.70844,   3.55038,   0.46671,   0.13780,   0.82080,   0.22146,   0.48397,   0.29452,   0.14208,6853.00000,   6.19876,  23.09009,   3.72495,   0.01660,   0.03983,   0.05908,   0.07998,   0.08673,   0.08534,   0.08162,   0.07779,   0.07749,   0.07549,   0.07549,   0.05184,   0.04513,   0.03621,   0.01826,   0.06664,   0.47569,   0.43168,   0.04105
  29.00000,   0.00000, 174.69000, 300.66000,   9.75000,   0.00041, 294.14636,   4.37862,   0.51515,   0.10323,   0.73036,   0.58567,   0.35174,   0.06256,   0.04236,9829.00000,   1.72111,  30.83689,  17.91691,   0.01919,   0.01753,   0.04543,   0.06258,   0.06215,   0.04588,   0.03064,   0.04471,   0.05876,   0.06014,   0.07148,   0.06264,   0.05836,   0.00482,   0.01048,   0.08526,   0.68593,   0.50549,   0.10013
  30.00000,   0.00000, 139.31000, 457.76001,  18.71000,   0.00030, 269.60358,   4.28810,   0.63502,   0.15777,   0.83080,   0.57289,   0.28957,   0.13752,   0.08789,9934.00000,   3.28591,  24.46605,   7.44575,   0.00833,   0.06212,   0.06901,   0.06030,   0.05267,   0.05240,   0.03889,   0.04117,   0.07370,   0.06926,   0.06629,   0.05131,   0.02542,   0.01322,   0.04846,   0.01032,   0.26304,   0.41956,   0.04645
  31.00000,   0.00000, 174.50999, 234.10001,  12.08000,   0.00037, 358.45328,   4.96995,   0.42892,   0.09204,   0.72002,   0.26987,   0.64980,   0.08029,   0.04435,13589.00000,   1.34147,  19.37912,  14.44618,   0.02754,   0.01383,   0.03684,   0.06025,   0.06006,   0.05067,   0.02629,   0.02202,   0.04638,   0.05611,   0.06298,   0.03760,   0.01491,   0.00387,   0.13315,   0.16794,   0.04600,   0.26544,   0.16893
  32.00000,   0.00000, 340.78000, 422.92999,   9.80000,   0.00164, 112.81466,   2.63900,   0.49726,   0.10386,   0.74792,   0.42316,   0.50618,   0.07062,   0.04287,3666.00000,   1.24106,  43.15608,  34.77343,   0.00260,   0.04546,   0.05456,   0.11506,   0.15038,   0.15055,   0.12502,   0.05287,   0.05738,   0.05694,   0.06818,   0.09031,   0.07809,   0.00325,   0.00464,   0.00417,   0.00417,   0.99081,   0.69268
  33.00000,   0.00000, 107.70000, 500.01999,  20.88000,   0.00369,  57.98563,   1.95486,   0.64636,   0.18238,   0.90872,   0.06371,   0.68511,   0.25115,   0.11482,1897.00000,   4.64271,  23.94731,   5.15804,   0.00169,   0.09167,   0.13810,   0.13453,   0.12898,   0.13017,   0.12937,   0.14057,   0.12593,   0.13011,   0.13221,   0.13681,   0.12802,   0.02109,   0.00733,   0.17969,   0.19390,   0.20307,   0.26449
  34.00000,   0.00000, 117.42000, 455.59000,  19.61000,   0.00023, 467.45523,   5.61189,   1.36997,   0.32349,   0.65915,   0.69046,   0.18375,   0.12577,   0.08763,13324.00000,   3.88000,  23.23252,   5.98776,   0.01270,   0.02619,   0.02704,   0.03652,   0.04307,   0.04977,   0.02772,   0.02054,   0.02162,   0.04722,   0.07825,   0.07634,   0.04436,   0.01764,   0.14113,   0.35001,   0.18336,   0.02610,   0.00032
  35.00000,   0.00000, 392.81000, 380.44000,  10.89000,   0.00121, 200.04341,   3.67095,   0.44237,   0.12064,   0.78067,   0.00978,   0.76855,   0.22162,   0.10020,7408.00000,   1.03251,  34.93477,  36.07067,   0.00455,   0.06455,   0.07601,   0.07746,   0.08395,   0.08933,   0.03757,   0.07377,   0.07315,   0.06242,   0.06352,   0.06169,   0.05305,   0.01490,   0.01658,   0.05768,   0.12642,   0.37601,   0.29862
  36.00000,   0.00000, 222.17999, 378.94000,  13.81000,   0.00113, 162.12274,   3.45106,   0.69231,   0.18177,   0.85173,   0.72208,   0.05991,   0.21799,   0.14572,6199.00000,   1.70555,  27.43952,  16.08833,   0.00533,   0.04879,   0.08654,   0.08112,   0.07801,   0.07709,   0.03828,   0.05427,   0.09249,   0.09521,   0.08254,   0.06543,   0.05384,   0.02164,   0.09586,   0.03465,   0.31520,   0.31360,   0.04209
  37.00000,   0.00000, 278.70001, 300.67001,  11.15000,   0.00036, 234.70467,   4.05879,   0.41761,   0.09561,   0.72339,   0.23231,   0.66546,   0.10219,   0.05465,8436.00000,   1.07883,  26.96590,  24.99550,   0.00903,   0.04594,   0.05895,   0.06637,   0.07131,   0.07841,   0.06813,   0.02764,   0.04992,   0.06013,   0.07303,   0.07112,   0.06822,   0.01704,   0.03643,   0.07615,   0.04095,   0.63077,   0.06445
  38.00000,   0.00000, 241.77000, 339.67001,  11.09000,   0.00035, 180.44153,   3.46646,   1.42280,   0.33489,   0.71506,   0.40534,   0.48636,   0.10829,   0.06359,5783.00000,   1.40493,  30.62847,  21.80070,   0.00635,   0.05104,   0.05901,   0.10518,   0.11080,   0.10593,   0.05347,   0.03094,   0.05013,   0.05443,   0.05947,   0.07465,   0.06170,   0.01444,   0.05312,   0.55887,   0.39825,   0.00321,   0.00303
  39.00000,   0.00000,  76.57000, 342.79999,  12.35000,   0.00487,  39.70953,   1.58771,   0.71648,   0.12059,   0.76776,   0.46346,   0.50206,   0.03445,   0.02193,1233.00000,   4.47695,  27.75706,   6.20000,   0.00380,   0.13249,   0.13860,   0.13921,   0.13249,   0.11845,   0.09158,   0.17537,   0.20934,   0.20750,   0.21944,   0.19373,   0.12670,   0.05122,   0.10757,   0.01707,   0.14684,   1.00568,   0.77688
  40.00000,   0.00000, 142.39000, 430.73001,  14.22000,   0.00614,  50.67211,   1.76753,   0.58774,   0.16860,   0.88572,   0.25816,   0.48945,   0.25235,   0.12655,1629.00000,   3.02500,  30.29042,  10.01335,   0.00187,   0.14186,   0.22328,   0.21947,   0.20484,   0.16794,   0.07888,   0.12304,   0.09796,   0.09913,   0.10227,   0.10344,   0.11246,   0.02998,   0.08459,   0.11457,   0.72594,   0.38224,   0.40687
  41.00000,   0.00000,  74.40000, 388.14001,  14.44000,   0.00141,  70.52206,   2.12574,   0.41539,   0.06762,   0.67798,   0.32968,   0.63856,   0.03172,   0.01864,2827.00000,   5.21694,  26.87949,   5.15235,   0.00678,   0.08747,   0.09640,   0.09481,   0.09759,   0.09085,   0.09362,   0.15094,   0.14940,   0.14847,   0.14478,   0.14262,   0.13461,   0.07095,   0.03699,   0.01940,   0.35232,   0.71858,   0.51604
  42.00000,   0.00000, 124.17000, 344.23001,  14.30000,   0.00090, 234.41676,   3.79621,   1.26410,   0.32129,   0.75653,   0.75022,   0.04924,   0.20054,   0.13827,7809.00000,   2.77225,  24.07201,   8.68321,   0.01278,   0.03513,   0.04978,   0.04889,   0.04957,   0.04917,   0.03225,   0.02691,   0.06256,   0.10043,   0.09846,   0.06343,   0.02345,   0.00671,   0.02148,   0.40554,   0.45010,   0.00205,   0.00170
  43.00000,   0.00000, 342.31000, 455.10001,  14.85000,   0.00109, 267.97571,   4.31771,   0.76360,   0.21121,   0.90740,   0.60913,   0.15989,   0.23095,   0.14241,8235.00000,   1.32950,  30.64644,  23.05116,   0.00356,   0.01895,   0.04673,   0.06323,   0.06581,   0.09368,   0.07879,   0.02077,   0.04234,   0.06692,   0.06280,   0.06352,   0.05746,   0.00959,   0.06954,   0.04786,   0.29296,   0.29816,   0.01990
  44.00000,   0.00000, 176.81000, 418.53000,  13.72000,   0.00041, 289.01459,   4.46216,   0.51841,   0.17016,   0.90244,   0.08672,   0.25410,   0.65913,   0.25624,9671.00000,   2.36712,  30.50508,  12.88702,   0.00953,   0.04175,   0.05570,   0.06371,   0.06547,   0.03517,   0.03145,   0.05691,   0.06326,   0.07882,   0.05618,   0.05536,   0.04618,   0.00514,   0.00514,   0.06923,   0.49723,   0.58111,   0.08439
  45.00000,   0.00000, 108.65000, 387.79999,  16.29000,   0.00123, 169.69267,   3.40761,   0.75338,   0.18509,   0.83002,   0.69734,   0.15235,   0.15028,   0.10344,6490.00000,   3.56926,  23.80600,   6.66973,   0.00946,   0.04699,   0.08953,   0.08389,   0.08471,   0.07691,   0.02949,   0.03251,   0.06474,   0.06514,   0.07463,   0.08811,   0.05033,   0.00517,   0.08937,   0.05650,   0.21749,   0.43344,   0.10574
  46.00000,   0.00000, 496.10999, 500.01001,  14.45000,   0.00145, 121.09467,   2.60336,   0.62614,   0.18692,   0.92227,   0.21507,   0.47199,   0.31291,   0.14916,3446.00000,   1.00786,  34.60275,  34.33285,   0.00096,   0.02126,   0.02966,   0.03742,   0.09227,   0.08855,   0.09716,   0.05667,   0.07931,   0.08287,   0.08483,   0.14952,   0.16093,   0.00147,   0.04789,   0.10186,   0.16256,   0.29194,   0.11804
  47.00000,   0.00000, 476.89999, 315.32001,  12.55000,   0.00050, 368.82187,   4.78409,   0.44398,   0.07828,   0.70768,   0.18969,   0.76720,   0.04306,   0.02323,14114.00000,   1.51243,  25.12508,  37.99997,   0.00748,   0.05679,   0.07552,   0.07095,   0.07141,   0.07468,   0.05936,   0.03396,   0.04051,   0.03746,   0.03601,   0.03878,   0.03387,   0.00935,   0.03040,   0.07758,   0.03635,   0.37638,   0.21994
  48.00000,   0.00000, 238.28999, 500.01999,  16.14000,   0.00309,  97.99865,   2.48474,   0.81556,   0.20254,   0.85960,   0.59138,   0.26968,   0.13891,   0.08977,3235.00000,   2.09837,  30.98016,  14.76393,   0.00168,   0.02491,   0.03826,   0.10728,   0.10255,   0.09976,   0.07736,   0.10384,   0.10601,   0.10471,   0.11995,   0.14106,   0.12865,   0.03797,   0.01142,   0.22714,   0.48989,   0.30946,   0.01109
  49.00000,   0.00000,   9.56000, 342.14999,  16.86000,   0.00103, 143.38541,   3.01049,   0.65748,   0.18917,   0.91339,   0.39371,   0.35408,   0.25218,   0.13570,5832.00000,  35.78971,  20.29358,   1.76360,   0.10575,   0.10859,   0.10105,   0.10019,   0.10719,   0.10611,   0.10514,   0.06580,   0.06266,   0.06547,   0.06627,   0.06627,   0.06313,   0.01006,   0.02637,   0.03099,   0.18293,   0.52269,   0.01957
  50.00000,   0.00000, 142.87000, 351.92999,  12.30000,   0.00108, 215.28818,   3.77567,   0.52906,   0.13938,   0.81619,   0.46230,   0.36862,   0.16905,   0.09905,7411.00000,   2.46329,  28.61217,  11.61544,   0.01198,   0.04232,   0.04717,   0.04761,   0.07286,   0.07752,   0.07180,   0.07863,   0.08307,   0.08502,   0.07198,   0.04129,   0.04108,   0.00281,   0.00414,   0.13791,   0.57467,   0.50249,   0.00497
  51.00000,   0.00000, 224.57001, 340.48999,  10.53000,   0.00110, 218.13708,   3.89116,   0.75198,   0.18638,   0.83041,   0.71945,   0.11716,   0.16337,   0.11315,8210.00000,   1.51619,  32.33521,  21.32667,   0.01020,   0.07192,   0.08124,   0.08307,   0.08148,   0.05517,   0.02341,   0.05415,   0.05562,   0.05506,   0.05558,   0.07088,   0.06269,   0.02835,   0.04018,   0.00546,   0.10477,   0.78434,   0.28171
  52.00000,   0.00000, 336.50000, 320.66000,  14.08000,   0.00078, 392.70761,   5.21580,   0.44360,   0.09203,   0.72710,   0.17991,   0.74606,   0.07398,   0.03906,12806.00000,   1.04940,  22.77413,  23.89913,   0.00843,   0.02080,   0.02694,   0.05204,   0.05370,   0.05340,   0.03813,   0.05354,   0.06661,   0.06120,   0.04867,   0.04237,   0.03801,   0.01834,   0.03979,   0.09636,   0.10027,   0.25125,   0.13570
  53.00000,   0.00000, 377.72000, 401.56000,   8.83000,   0.00264,  71.70038,   2.22146,   0.44860,   0.10668,   0.75058,   0.28572,   0.59893,   0.11532,   0.06303,2650.00000,   1.06312,  45.47673,  42.77685,   0.00198,   0.07824,   0.11958,   0.11984,   0.12815,   0.13127,   0.11178,   0.11746,   0.11746,   0.11462,   0.11231,   0.11668,   0.10406,   0.01910,   0.00982,   0.06274,   0.67815,   0.63451,   0.04146
  54.00000,   0.00000, 175.83000, 400.17001,  17.84000,   0.00037, 352.29965,   4.93591,   0.44868,   0.06459,   0.69551,   0.12333,   0.85329,   0.02334,   0.01228,13667.00000,   2.27589,  22.43104,   9.85594,   0.01089,   0.04122,   0.04760,   0.04737,   0.04944,   0.04652,   0.03535,   0.04715,   0.05579,   0.05703,   0.06317,   0.06273,   0.06055,   0.01209,   0.02133,   0.00792,   0.15652,   0.08480,   0.26429
  55.00000,   0.00000, 333.60001, 361.54999,  14.47000,   0.00007, 374.58926,   4.99524,   0.84554,   0.24162,   0.95090,   0.48928,   0.26176,   0.24894,   0.14147,14235.00000,   1.08378,  24.98616,  23.05458,   0.00816,   0.04312,   0.05099,   0.05091,   0.04998,   0.05014,   0.04221,   0.05225,   0.05496,   0.05618,   0.05361,   0.05273,   0.05198,   0.01013,   0.00921,   0.23719,   0.01036,   0.38833,   0.00051
  56.00000,   0.00000, 219.31000, 320.12000,   9.91000,   0.00132, 164.58997,   3.19133,   0.47945,   0.07630,   0.71927,   0.10172,   0.86595,   0.03228,   0.01672,6048.00000,   1.45967,  32.30269,  22.13015,   0.00869,   0.07026,   0.11022,   0.10349,   0.10418,   0.10291,   0.09833,   0.05114,   0.05806,   0.06271,   0.06181,   0.05766,   0.05187,   0.01370,   0.01411,   0.03985,   0.38832,   0.50081,   0.29845
  57.00000,   0.00000,  62.44000, 460.38000,  18.67000,   0.00085, 247.32991,   4.14872,   0.63319,   0.17158,   0.86963,   0.51828,   0.28713,   0.19456,   0.11607,9368.00000,   7.37316,  24.65880,   3.34440,   0.01746,   0.02994,   0.04831,   0.06358,   0.07860,   0.08329,   0.06483,   0.04790,   0.07011,   0.06652,   0.04904,   0.04213,   0.02148,   0.13465,   0.06931,   0.02433,   0.35311,   0.29849,   0.05034
